Coin ID,Capitalización total de mercado (market cap),Categorías
aevum-ore,0.0,"['Gaming (GameFi)', 'Solana Ecosystem']"
affyn,21037866.0,"['Gaming (GameFi)', 'Metaverse', 'Play To Earn', 'Polygon Ecosystem', 'Kommunitas Launchpad']"
a-gently-used-nokia-3310,0.0,"['Solana Ecosystem', 'Meme']"
agoras-currency-of-tau,70604062.0,"['Artificial Intelligence (AI)', 'Smart Contract Platform', 'Ethereum Ecosystem']"
ai-floki,0.0,"['BNB Chain Ecosystem', 'Meme']"
aigentx,0.0,"['Telegram Apps', 'Artificial Intelligence (AI)', 'Ethereum Ecosystem']"
aimbot,4027390.0,"['Telegram Apps', 'Artificial Intelligence (AI)', 'Ethereum Ecosystem']"
aimedis-new,2894323.0,"['Decentralized Science (DeSci)', 'Healthcare', 'Artificial Intelligence (AI)', 'NFT', 'Metaverse', 'Polygon Ecosystem']"
ai-network,6623047.0,"['Artificial Intelligence (AI)', 'Ethereum Ecosystem']"
aioz-network,694076234.0,"['DePIN', 'DWF Labs Portfolio', 'Artificial Intelligence (AI)', 'Smart Contract Platform', 'Storage', 'Cosmos Ecosystem', 'BNB Chain Ecosystem', 'Layer 1 (L1)', 'Ethereum Ecosystem']"
ai-power-grid,5599019.0,['Artificial Intelligence (AI)']
airight,5723708.0,"['Artificial Intelligence (AI)', 'NFT', 'BNB Chain Ecosystem']"
ait-protocol,38603715.0,"['PAAL AI', 'Artificial Intelligence (AI)', 'Ethereum Ecosystem']"
akamaru,0.0,"['Starknet Ecosystem', 'Meme']"
akash-network,863058095.0,"['Osmosis Ecosystem', 'DePIN', 'Proof of Stake (PoS)', 'Artificial Intelligence (AI)', 'Cosmos Ecosystem']"
akitaaaaaa,0.0,"['Dog-Themed Coins', 'Sei Ecosystem', 'Meme']"
akita-inu,0.0,"['Meme', 'Avalanche Ecosystem', 'Algorand Ecosystem', 'Ethereum Ecosystem']"
akita-inu-3,0.0,"['TON Meme Coins', 'TON Ecosystem', 'Meme']"
aktionariat-alan-frei-company-tokenized-shares,0.0,"['Ethereum Ecosystem', 'Real World Assets (RWA)']"
aktionariat-ayurveda-ag-tokenized-shares,0.0,"['Ethereum Ecosystem', 'Real World Assets (RWA)']"
aktionariat-boss-info-ag-tokenized-shares,0.0,"['Ethereum Ecosystem', 'Real World Assets (RWA)']"
aktionariat-outlawz-food-ag-tokenized-shares,0.0,"['Ethereum Ecosystem', 'Real World Assets (RWA)']"
aktionariat-parknsleep-ag-tokenized-shares,0.0,"['Ethereum Ecosystem', 'Real World Assets (RWA)']"
aktionariat-pension-dynamics-ag-tokenized-shares,0.0,"['Ethereum Ecosystem', 'Real World Assets (RWA)']"
aktionariat-realunit-schweiz-ag-tokenized-shares,0.0,"['Ethereum Ecosystem', 'Real World Assets (RWA)']"
aktionariat-servicehunter-ag-tokenized-shares,0.0,"['Ethereum Ecosystem', 'Real World Assets (RWA)']"
aktionariat-technologies-of-understanding-ag-tokenized-shares,0.0,"['Ethereum Ecosystem', 'Real World Assets (RWA)']"
alaska-gold-rush,2006309.0,"['Gaming (GameFi)', 'BNB Chain Ecosystem']"
aleph,28611825.0,"['DePIN', 'FTX Holdings', 'Artificial Intelligence (AI)', 'Infrastructure', 'Storage', 'Cosmos Ecosystem', 'Polkadot Ecosystem', 'BNB Chain Ecosystem', 'Solana Ecosystem', 'Polygon Ecosystem', 'Avalanche Ecosystem', 'Ethereum Ecosystem']"
alethea-artificial-liquid-intelligence-token,67036545.0,"['Multicoin Capital Portfolio', 'Artificial Intelligence (AI)', 'Base Ecosystem', 'NFT', 'Metaverse', 'Polygon Ecosystem', 'Cronos Ecosystem', 'Ethereum Ecosystem']"
alien-worlds,62576234.0,"['Gaming Governance Token', 'Card Games', 'Gaming (GameFi)', 'Binance Launchpool', 'NFT', 'BNB Chain Ecosystem', 'Play To Earn', 'Ethereum Ecosystem']"
allianceblock-nexera,127716198.0,"['BNB Chain Ecosystem', 'Polygon Ecosystem', 'Avalanche Ecosystem', 'Ethereum Ecosystem', 'Real World Assets (RWA)']"
all-in,1082526.0,"['Telegram Apps', 'Artificial Intelligence (AI)', 'Ethereum Ecosystem']"
all-your-base,497034.0,"['Meme', 'Ethereum Ecosystem']"
all-your-base-2,0.0,"['Base Meme Coins', 'Base Ecosystem', 'Meme']"
alphakek-ai,0.0,"['Artificial Intelligence (AI)', 'Ethereum Ecosystem']"
alpha-radar-bot,412226.0,"['Telegram Apps', 'Artificial Intelligence (AI)', 'Ethereum Ecosystem']"
alpharushai,73224.0,"['Telegram Apps', 'Artificial Intelligence (AI)', 'Ethereum Ecosystem']"
alphascan,3368429.0,"['Telegram Apps', 'Artificial Intelligence (AI)', 'Analytics', 'Arbitrum Ecosystem', 'Ethereum Ecosystem']"
altered-state-token,29915711.0,"['Gaming Utility Token', 'Coinbase Ventures Portfolio', 'Gaming Governance Token', 'Artificial Intelligence (AI)', 'Gaming (GameFi)', 'NFT', 'Metaverse', 'Ethereum Ecosystem']"
altura,34255109.0,"['Gaming Platform', 'Infrastructure', 'Gaming (GameFi)', 'NFT', 'BNB Chain Ecosystem', 'Avalanche Ecosystem', 'Ethereum Ecosystem']"
alux-jownes,0.0,"['Solana Meme Coins', 'Solana Ecosystem', 'Meme']"
american-coin,0.0,"['Parody Meme Coins', 'Solana Meme Coins', 'Solana Ecosystem', 'Meme']"
analos,6825375.0,"['Solana Meme Coins', 'Solana Ecosystem', 'Meme']"
andy-the-wisguy,0.0,"['Meme', 'Ethereum Ecosystem']"
anime-base,0.0,"['Base Meme Coins', 'Base Ecosystem', 'Meme']"
anrkey-x,18229.37,"['Gaming (GameFi)', 'NFT', 'BNB Chain Ecosystem', 'DaoMaker Ecosystem', 'Play To Earn', 'Polygon Ecosystem', 'Ethereum Ecosystem']"
ansem-s-cat,0.0,"['Cat-Themed Coins', 'Solana Meme Coins', 'Solana Ecosystem', 'Meme']"
any-inu,10596941.0,"['Dog-Themed Coins', 'Blast Ecosystem', 'Base Ecosystem', 'BNB Chain Ecosystem', 'Fantom Ecosystem', 'Solana Ecosystem', 'Arbitrum Ecosystem', 'Polygon Ecosystem', 'Meme', 'Avalanche Ecosystem', 'Optimism Ecosystem', 'Ethereum Ecosystem']"
ape-2,127651.0,['Meme']
apecoin,743447938.0,"['Gaming Utility Token', 'Gaming Governance Token', 'Gaming (GameFi)', 'NFT', 'Polygon Ecosystem', 'Ethereum Ecosystem']"
ape-in,8448.48,"['Gaming (GameFi)', 'Play To Earn', 'Avalanche Ecosystem', 'Ethereum Ecosystem']"
arbdoge-ai,74876066.0,"['Dog-Themed Coins', 'DWF Labs Portfolio', 'Arbitrum Ecosystem', 'Meme']"
arbius,11622773.0,"['Artificial Intelligence (AI)', 'Ethereum Ecosystem', 'Arbitrum Nova Ecosystem']"
arc,56673577.0,"['Artificial Intelligence (AI)', 'Ethereum Ecosystem']"
arcade-2,0.0,"['Gaming (GameFi)', 'Play To Earn', 'Ethereum Ecosystem']"
arcadeum,0.0,"['Gambling', 'Gaming (GameFi)', 'Arbitrum Ecosystem']"
architex,0.0,"['DePIN', 'Artificial Intelligence (AI)', 'Ethereum Ecosystem']"
arena-token,0.0,"['Gambling', 'Gaming (GameFi)', 'BNB Chain Ecosystem']"
arker-2,0.0,"['RPG', 'Gaming (GameFi)', 'BNB Chain Ecosystem']"
arkham,303538346.0,"['Binance Launchpad', 'Coinbase Ventures Portfolio', 'Artificial Intelligence (AI)', 'Analytics', 'Ethereum Ecosystem']"
arkitech,10226053.0,"['Telegram Apps', 'Discord Bots', 'Decentralized Exchange (DEX)', 'Artificial Intelligence (AI)', 'MEV Protection', 'Ethereum Ecosystem']"
ark-rivals,0.0,"['Gaming (GameFi)', 'BNB Chain Ecosystem', 'Play To Earn']"
army-of-fortune-metaverse,0.0,"['Gaming (GameFi)', 'Arbitrum Ecosystem']"
artrade,67971025.0,"['Art', 'NFT', 'Solana Ecosystem', 'Real World Assets (RWA)', 'NFT Marketplace']"
artyfact,10654535.0,"['Gaming Governance Token', 'Gaming (GameFi)', 'Metaverse', 'BNB Chain Ecosystem']"
assetlink,,"['Ethereum Ecosystem', 'Real World Assets (RWA)']"
astropepex,7850814.0,"['AI Meme Coins', 'Meme', 'Ethereum Ecosystem']"
atari,1770812.0,"['Gaming (GameFi)', 'NFT', 'Metaverse', 'BNB Chain Ecosystem', 'Fantom Ecosystem', 'Polygon Ecosystem', 'Ethereum Ecosystem']"
atlas-navi,23889678.0,"['Artificial Intelligence (AI)', 'NFT', 'DaoMaker Ecosystem', 'Ethereum Ecosystem']"
aurory,36032671.0,"['FTX Holdings', 'DWF Labs Portfolio', 'Gaming Utility Token', 'Gaming Governance Token', 'Adventure Games', 'Gaming (GameFi)', 'NFT', 'Metaverse', 'Solana Ecosystem', 'Arbitrum Ecosystem', 'Play To Earn']"
australian-safe-shepherd,0.0,"['BNB Chain Ecosystem', 'Meme']"
autonolas,154079301.0,"['Artificial Intelligence (AI)', 'AI Agents', 'Solana Ecosystem', 'Gnosis Chain Ecosystem', 'Polygon Ecosystem', 'Ethereum Ecosystem']"
avaocado-dao,2447004.0,"['Gaming (GameFi)', 'NFT', 'Metaverse', 'BNB Chain Ecosystem', 'Guild and Scholarship', 'Play To Earn', 'Collectibles', 'Ethereum Ecosystem']"
avax-has-no-chill,14030127.0,"['Meme', 'Avalanche Ecosystem']"
avaxlama,0.0,"['Meme', 'Avalanche Ecosystem']"
avaxtars,99866.0,"['Gaming (GameFi)', 'NFT', 'Metaverse', 'Play To Earn', 'Avalanche Ecosystem']"
aventis-metaverse,0.0,"['Artificial Intelligence (AI)', 'Metaverse', 'Polygon Ecosystem']"
awkward-look-monkey-club,0.0,"['Solana Meme Coins', 'Solana Ecosystem', 'Meme']"
axie-infinity,987388771.0,"['Binance Launchpad', 'Ronin Ecosystem', 'Alleged SEC Securities', 'Gaming Utility Token', 'Breeding', 'Gaming Governance Token', 'Paradigm Portfolio', 'Card Games', 'Gaming (GameFi)', 'NFT', 'Axie Infinity', 'Metaverse', 'BNB Chain Ecosystem', 'Harmony Ecosystem', 'Play To Earn', 'Ethereum Ecosystem']"
baby-doge-coin,231211557.0,"['Dog-Themed Coins', 'BNB Chain Ecosystem', 'Meme', 'Ethereum Ecosystem']"
babypepe,0.0,"['Meme', 'Ethereum Ecosystem']"
baby-pepe-erc20,0.0,"['Meme', 'Ethereum Ecosystem']"
baby-shiba-inu-erc,1165815.0,"['Meme', 'Ethereum Ecosystem']"
babytrump,1229275.0,"['PolitiFi', 'Solana Ecosystem', 'Meme', 'Ethereum Ecosystem']"
backed-coinbase-global,0.0,"['BNB Chain Ecosystem', 'Gnosis Chain Ecosystem', 'Polygon Ecosystem', 'Avalanche Ecosystem', 'Ethereum Ecosystem', 'Real World Assets (RWA)']"
backed-cspx-core-s-p-500,0.0,"['BNB Chain Ecosystem', 'Gnosis Chain Ecosystem', 'Polygon Ecosystem', 'Avalanche Ecosystem', 'Ethereum Ecosystem', 'Real World Assets (RWA)']"
backed-govies-0-6-months-euro,0.0,"['BNB Chain Ecosystem', 'Gnosis Chain Ecosystem', 'Polygon Ecosystem', 'Avalanche Ecosystem', 'Ethereum Ecosystem', 'Real World Assets (RWA)']"
backed-high-high-yield-corp-bond,0.0,"['BNB Chain Ecosystem', 'Gnosis Chain Ecosystem', 'Polygon Ecosystem', 'Avalanche Ecosystem', 'Ethereum Ecosystem', 'Real World Assets (RWA)']"
backed-ib01-treasury-bond-0-1yr,0.0,"['Tokenized Treasury Bonds (T-Bonds)', 'Ethereum Ecosystem', 'Real World Assets (RWA)']"
backed-ibta-treasury-bond-1-3yr,0.0,"['Tokenized Treasury Bonds (T-Bonds)', 'BNB Chain Ecosystem', 'Gnosis Chain Ecosystem', 'Polygon Ecosystem', 'Avalanche Ecosystem', 'Ethereum Ecosystem', 'Real World Assets (RWA)']"
backed-niu-technologies,0.0,"['BNB Chain Ecosystem', 'Gnosis Chain Ecosystem', 'Arbitrum Ecosystem', 'Polygon Ecosystem', 'Avalanche Ecosystem', 'Ethereum Ecosystem', 'Real World Assets (RWA)']"
bad-idea-ai,16111833.0,"['Telegram Apps', 'Discord Bots', 'Artificial Intelligence (AI)', 'Meme', 'Ethereum Ecosystem']"
bag,6567548.0,"['Gaming Utility Token', 'Blast Ecosystem', 'Gaming Governance Token', 'Gaming (GameFi)', 'Metaverse', 'Polygon Ecosystem', 'Ethereum Ecosystem']"
balance-ai,0.0,"['Artificial Intelligence (AI)', 'Ethereum Ecosystem']"
bald-dog,0.0,"['Dog-Themed Coins', 'Base Meme Coins', 'Base Ecosystem', 'Meme']"
bananacat,1128044.0,"['Cat-Themed Coins', 'Meme', 'Ethereum Ecosystem']"
bananace,0.0,"['BNB Chain Ecosystem', 'Meme']"
banano,9955392.0,"['Cryptocurrency', 'BNB Chain Ecosystem', 'Fantom Ecosystem', 'Arbitrum Ecosystem', 'Polygon Ecosystem', 'Meme', 'Ethereum Ecosystem']"
baobaosol,0.0,"['Solana Meme Coins', 'Solana Ecosystem', 'Meme']"
bark,0.0,"['Meme', 'Ethereum Ecosystem']"
barter,5961.71,"['BNB Chain Ecosystem', 'Ethereum Ecosystem', 'Real World Assets (RWA)']"
based-brett,507885143.0,"['Frog-Themed Coins', 'Base Meme Coins', 'Base Ecosystem', 'Meme']"
based-chad,0.0,"['Base Meme Coins', 'Base Ecosystem', 'Meme']"
based-shiba-inu,0.0,"['Dog-Themed Coins', 'Base Meme Coins', 'Base Ecosystem', 'Meme']"
base-god,16252644.0,"['Base Meme Coins', 'Farcaster Ecosystem', 'Base Ecosystem', 'Meme']"
base-pro-shops,0.0,"['Base Meme Coins', 'Base Ecosystem', 'Meme']"
basic-dog-meme,0.0,"['Base Ecosystem', 'Meme']"
batcat,0.0,"['Cat-Themed Coins', 'Solana Meme Coins', 'Solana Ecosystem', 'Meme']"
battle-pets,1925359.0,"['Entertainment', 'Gaming (GameFi)', 'NFT', 'Arbitrum Ecosystem', 'Ethereum Ecosystem']"
battleverse,0.0,"['Gaming (GameFi)', 'BNB Chain Ecosystem']"
battle-world,3285226.0,"['Gaming Utility Token', 'Gaming (GameFi)', 'NFT', 'Metaverse', 'Play To Earn', 'Polygon Ecosystem']"
beam-2,1410661705.0,"['Gaming Blockchains', 'DWF Labs Portfolio', 'Gaming (GameFi)', 'Binance Launchpool', 'BNB Chain Ecosystem', 'Ethereum Ecosystem']"
beamcat,0.0,"['Beam Ecosystem', 'Cat-Themed Coins', 'Meme']"
bear-inu,0.0,"['Meme', 'Ethereum Ecosystem']"
ben-the-dog,0.0,"['Dog-Themed Coins', 'Solana Meme Coins', 'Solana Ecosystem', 'Meme']"
benzene,127179.0,"['Gaming (GameFi)', 'NFT', 'Metaverse', 'Play To Earn', 'Ethereum Ecosystem']"
berry-pixels,0.0,"['Ronin Ecosystem', 'DWF Labs Portfolio', 'Gaming (GameFi)']"
betbuinu,0.0,"['Meme', 'Ethereum Ecosystem']"
bezoge-earth,342234.0,"['Gaming (GameFi)', 'NFT', 'Ethereum Ecosystem']"
big-time,145029146.0,"['RPG', 'Gaming (GameFi)', 'Ethereum Ecosystem']"
binamon,786281.0,"['Gaming (GameFi)', 'NFT', 'Metaverse', 'Play To Earn']"
binance-peg-dogecoin,0.0,"['BNB Chain Ecosystem', 'Harmony Ecosystem', 'Meme']"
bingus-the-cat,0.0,"['Cat-Themed Coins', 'Solana Meme Coins', 'Solana Ecosystem', 'Meme']"
birb-3,0.0,"['Solana Meme Coins', 'Solana Ecosystem', 'Meme']"
bird-money,1616203.0,"['Artificial Intelligence (AI)', 'Oracle', 'Analytics', 'BNB Chain Ecosystem', 'Ethereum Ecosystem']"
bitcat,0.0,"['Cat-Themed Coins', 'Solana Meme Coins', 'Solana Ecosystem', 'Meme']"
bitcoin-cats,0.0,"['Gaming Platform', 'Gaming (GameFi)', 'Ethereum Ecosystem', 'Layer 2 (L2)']"
bitscrunch-token,11120554.0,"['Coinbase Ventures Portfolio', 'Artificial Intelligence (AI)', 'Analytics', 'NFT', 'Polygon Ecosystem', 'Ethereum Ecosystem']"
bittensor,3036548324.0,['Artificial Intelligence (AI)']
blackpool-token,1352018.0,"['Gaming (GameFi)', 'NFT', 'Asset Manager', 'Metaverse', 'Guild and Scholarship', 'Olympus Pro', 'Polygon Ecosystem', 'Ethereum Ecosystem']"
black-rabbit-ai,0.0,"['Artificial Intelligence (AI)', 'Arbitrum Ecosystem', 'Ethereum Ecosystem']"
blackrocktradingcurrency,0.0,"['Decentralized Finance (DeFi)', 'Meme', 'Ethereum Ecosystem']"
blacksmith-token,585051.0,"['Telegram Apps', 'Artificial Intelligence (AI)', 'Ethereum Ecosystem']"
blockchain-cuties-universe-governance,37757.0,"['Gaming (GameFi)', 'NFT', 'Ethereum Ecosystem']"
blockchain-monster-hunt,1417278.0,"['Gaming (GameFi)', 'NFT', 'BNB Chain Ecosystem', 'Play To Earn', 'Polygon Ecosystem', 'Ethereum Ecosystem']"
blockchainspace,2378711.0,"['Gaming (GameFi)', 'SocialFi', 'NFT', 'Fan Token', 'Metaverse', 'BNB Chain Ecosystem', 'Guild and Scholarship', 'Play To Earn', 'Polygon Ecosystem', 'Collectibles', 'Ethereum Ecosystem']"
blockgames,0.0,"['Gaming (GameFi)', 'Ethereum Ecosystem']"
blockgpt,0.0,"['Telegram Apps', 'Artificial Intelligence (AI)', 'Ethereum Ecosystem']"
blocksquare,29354619.0,"['Ethereum Ecosystem', 'Real World Assets (RWA)']"
bluzelle,146688572.0,"['Gaming Blockchains', 'Gaming (GameFi)', 'Storage', 'Cosmos Ecosystem', 'Polkadot Ecosystem', 'BNB Chain Ecosystem', 'Ethereum Ecosystem']"
bobacat,22098120.0,"['Cat-Themed Coins', 'Meme', 'Ethereum Ecosystem']"
bober,0.0,"['Meme', 'MultiversX Ecosystem']"
bobo,0.0,"['Meme', 'Ethereum Ecosystem']"
bobo-coin,0.0,"['Meme', 'Ethereum Ecosystem']"
bob-token,14890641.0,"['Meme', 'Ethereum Ecosystem']"
bomber-coin,4113564.0,"['Gaming (GameFi)', 'NFT', 'BNB Chain Ecosystem', 'Play To Earn']"
bonk,948013204.0,"['Dog-Themed Coins', 'Neon Ecosystem', 'Solana Meme Coins', 'BNB Chain Ecosystem', 'Solana Ecosystem', 'Arbitrum Ecosystem', 'Polygon Ecosystem', 'Meme', 'Ethereum Ecosystem', 'Aptos Ecosystem']"
bonk-2-0-sol,669781.0,"['Dog-Themed Coins', 'Solana Meme Coins', 'Solana Ecosystem', 'Meme']"
bonkwifhat,0.0,"['Dog-Themed Coins', 'Solana Meme Coins', 'Solana Ecosystem', 'Meme']"
book-of-meme,472501800.0,"['Solana Meme Coins', 'Solana Ecosystem', 'Meme']"
book-of-meow,0.0,"['Cat-Themed Coins', 'Solana Meme Coins', 'Solana Ecosystem', 'Meme']"
boson-protocol,61954805.0,"['NFT', 'Metaverse', 'Polygon Ecosystem', 'Ethereum Ecosystem', 'Real World Assets (RWA)']"
boss,0.0,['Meme']
bostrom,15589858.0,"['Artificial Intelligence (AI)', 'Cosmos Ecosystem']"
botto,35387358.0,"['Artificial Intelligence (AI)', 'NFT', 'Ethereum Ecosystem']"
bounty-temple,0.0,"['Gaming Governance Token', 'Gaming (GameFi)', 'Polygon Ecosystem']"
bozo-hybrid,12648161.0,"['Solana Meme Coins', 'Solana Ecosystem', 'Meme']"
breederdao,30554695.0,"['DWF Labs Portfolio', 'Gaming (GameFi)', 'Metaverse', 'Polygon Ecosystem', 'Ethereum Ecosystem']"
brepe,0.0,"['Meme', 'Ethereum Ecosystem']"
brickken,16764322.0,"['BNB Chain Ecosystem', 'Ethereum Ecosystem', 'Real World Assets (RWA)']"
bridge-oracle,13462373.0,"['Artificial Intelligence (AI)', 'Oracle', 'Decentralized Finance (DeFi)', 'BNB Chain Ecosystem', 'Arbitrum Ecosystem', 'Liquid Staking Tokens', 'Ethereum Ecosystem']"
broge,0.0,"['Base Meme Coins', 'Base Ecosystem', 'Meme']"
bullbear-ai,0.0,"['Arbitrum Ecosystem', 'Meme']"
bullieverse,5298641.0,"['Adventure Games', 'Gaming (GameFi)', 'NFT', 'Metaverse', 'Play To Earn', 'Polygon Ecosystem']"
bull-run-today,0.0,"['BNB Chain Ecosystem', 'Meme']"
bunicorn,0.0,"['Decentralized Exchange (DEX)', 'Gaming (GameFi)', 'NFT', 'BNB Chain Ecosystem', 'Play To Earn']"
burger-swap,16117322.0,"['Decentralized Exchange (DEX)', 'Gaming Utility Token', 'Gaming Governance Token', 'Gaming (GameFi)', 'NFT', 'Automated Market Maker (AMM)', 'Metaverse', 'BNB Chain Ecosystem', 'Play To Earn']"
burn,0.0,"['Meme', 'Ethereum Ecosystem']"
burrrd,0.0,"['Solana Meme Coins', 'Solana Ecosystem', 'Meme']"
buttman,0.0,"['Base Meme Coins', 'Base Ecosystem', 'Meme']"
byte,14315550.0,"['Dog-Themed Coins', 'AI Meme Coins', 'Elon Musk-Inspired Coins', 'Base Ecosystem', 'BNB Chain Ecosystem', 'Solana Ecosystem', 'Arbitrum Ecosystem', 'Meme', 'Ethereum Ecosystem']"
cake-monster,773699.0,"['NFT', 'Yield Farming', 'BNB Chain Ecosystem', 'Meme']"
cantina-royale,0.0,"['Gaming (GameFi)', 'Play To Earn', 'MultiversX Ecosystem']"
canto,97341017.0,"['Parallelized EVM', 'Smart Contract Platform', 'Cosmos Ecosystem', 'Layer 1 (L1)', 'Ethereum Ecosystem', 'Canto Ecosystem', 'Real World Assets (RWA)']"
carbify,33670497.0,"['Gaming (GameFi)', 'NFT', 'Polygon Ecosystem', 'Ethereum Ecosystem', 'Regenerative Finance (ReFi)', 'Real World Assets (RWA)']"
carbon-browser,23360695.0,"['Decentralized Exchange (DEX)', 'DWF Labs Portfolio', 'Poolz Finance Launchpad', 'Artificial Intelligence (AI)', 'Infrastructure', 'BNB Chain Ecosystem', 'Wallets', 'Ethereum Ecosystem']"
caroline,0.0,"['Meme', 'Ethereum Ecosystem']"
catbonk,129049.0,"['BNB Chain Ecosystem', 'Meme']"
cat-cat-token,1011363.0,"['BNB Chain Ecosystem', 'Meme']"
catceo,0.0,"['BNB Chain Ecosystem', 'Meme']"
catcoin-bsc,0.0,"['BNB Chain Ecosystem', 'Meme']"
catcoin-cash,38274065.0,"['Cat-Themed Coins', 'Solana Meme Coins', 'BNB Chain Ecosystem', 'Solana Ecosystem', 'Meme', 'Ethereum Ecosystem']"
catecoin,12803451.0,"['Cat-Themed Coins', 'Entertainment', 'Gaming (GameFi)', 'NFT', 'Yield Aggregator', 'BNB Chain Ecosystem', 'Wallets', 'Play To Earn', 'Launchpad', 'Meme', 'Ethereum Ecosystem']"
catfish,470238.0,"['Cat-Themed Coins', 'Solana Meme Coins', 'Solana Ecosystem', 'Meme']"
catgirl,19198905.0,"['NFT', 'BNB Chain Ecosystem', 'Meme']"
cat-in-a-dogs-world,520681830.0,"['Cat-Themed Coins', 'Solana Meme Coins', 'Solana Ecosystem', 'Meme']"
catino,0.0,"['Cat-Themed Coins', 'Solana Meme Coins', 'Solana Ecosystem', 'Meme']"
cat-token,660309.0,"['Cat-Themed Coins', 'NFT', 'Meme', 'Ethereum Ecosystem']"
catvax,0.0,"['Cat-Themed Coins', 'Solana Meme Coins', 'Solana Ecosystem', 'Meme']"
catwifbag,0.0,"['Cat-Themed Coins', 'Solana Meme Coins', 'Solana Ecosystem', 'Meme']"
catwifhat-3,0.0,"['Cat-Themed Coins', 'Solana Meme Coins', 'Solana Ecosystem', 'Meme']"
cave,195594.0,"['Gaming (GameFi)', 'NFT']"
caw-ceo,0.0,"['BNB Chain Ecosystem', 'Meme']"
centrifuge,362072124.0,"['Coinbase Ventures Portfolio', 'Real World Assets (RWA)']"
ceo,0.0,"['BNB Chain Ecosystem', 'Meme']"
cere-network,39465003.0,"['DePIN', 'Artificial Intelligence (AI)', 'Gaming (GameFi)', 'SocialFi', 'Storage', 'Polkadot Ecosystem', 'DaoMaker Ecosystem', 'Ethereum Ecosystem']"
chad-coin,1178515.0,"['Meme', 'Ethereum Ecosystem']"
chaincade,0.0,"['Gaming (GameFi)', 'NFT', 'Metaverse', 'BNB Chain Ecosystem', 'Play To Earn']"
chain-games,5009120.0,"['Entertainment', 'Gaming (GameFi)', 'BNB Chain Ecosystem', 'Play To Earn', 'Polygon Ecosystem', 'Ethereum Ecosystem']"
chaingpt,104720203.0,"['Telegram Apps', 'ChainGPT Pad', 'Discord Bots', 'Poolz Finance Launchpad', 'Artificial Intelligence (AI)', 'Smart Contract Platform', 'Decentralized Finance (DeFi)', 'Analytics', 'NFT', 'BNB Chain Ecosystem', 'Launchpad', 'Ethereum Ecosystem']"
chain-guardians,4760765.0,"['Gaming (GameFi)', 'NFT', 'BNB Chain Ecosystem', 'Play To Earn', 'Polygon Ecosystem', 'Ethereum Ecosystem']"
chain-of-legends,252587.0,"['Entertainment', 'Gaming (GameFi)', 'Governance', 'NFT', 'BNB Chain Ecosystem', 'Play To Earn']"
champignons-of-arborethia,5424422.0,"['Gaming (GameFi)', 'Play To Earn', 'Ethereum Ecosystem']"
