Exchange,Crypto ID,Cantidad en el Exchange (USD)
Binance,newpepe,244356436.0
Binance,san-diego-coin,16303853.0
Binance,unicorn-token,18396802.0
Binance,arkham,26407465.0
Binance,binance-peg-eos,11439704.0
Binance,kava,6564457.0
Binance,jasmycoin,19537419.0
Binance,polymesh,29119881.0
Binance,mantra-dao,29168662.0
Binance,vechain,21443084.0
Binance,alitas,33154486.0
Binance,the-graph,18662184.0
Binance,mina-protocol,8383452.0
Binance,conflux-token,19533657.0
Binance,aave,10243995.0
Binance,1000sats-ordinals,39618972.0
Binance,edu-coin,5700629.0
Binance,celestia,73156294.0
Binance,gmt-token,25634654.0
Binance,cryptosaga,51525673.0
Binance,bridged-curve-dao-token-stargate,9436206.0
Binance,dydx-chain,16848759.0
Binance,blur,5920952.0
Binance,axelar,14616361.0
Binance,reserve-rights-token,10462220.0
Binance,osmosis,2191831.0
Binance,safepal,9206722.0
Bybit,batcat,2040038309.0
Bybit,bridged-binance-peg-ethereum-opbnb,1142744483.0
Bybit,beam-bridged-usdc-beam,158978420.0
Bybit,solana,301617681.0
Bybit,binance-peg-xrp,140998516.0
Bybit,energi-dollar,457367.0
Bybit,binancecoin,29971437.0
Bybit,binance-peg-dogecoin,79063482.0
Bybit,bridged-wrapped-bitcoin-manta-pacific,528262.0
Bybit,binance-peg-litecoin,15311254.0
Bybit,ether-fi,16499521.0
Bybit,arbitrum-bridged-usdt-arbitrum,2280612.0
Bybit,bridged-dai-stablecoin-linea,649466.0
Bybit,staked-ether,80489089.0
Bybit,ondo-finance,79753889.0
Bybit,mantle,69152024.0
Bybit,ethena,46978608.0
Bybit,blockstack,8298058.0
Bybit,wormhole,4849895.0
Bybit,sui,33982781.0
Bybit,starknet,5362468.0
Bybit,fantom,15018333.0
Bybit,the-open-network,61226996.0
Bybit,near,23884464.0
Bybit,chainlink,14051951.0
Bybit,algorand,7849761.0
Bybit,hedera-hashgraph,2929716.0
Bybit,bridged-matic-manta-pacific,12068362.0
Bybit,ada-the-dog,16945597.0
Bybit,avalanche-2,19391529.0
Bybit,newpepe,25445235.0
Bybit,celestia,22259117.0
Bybit,apexit-finance,47912882.0
Bybit,pyth-network,9183649.0
Bybit,render-token,15609382.0
Bybit,tron,6567113.0
Bybit,fetch-ai,15748797.0
Bybit,injective-protocol,17002295.0
Bybit,manta-network,3179644.0
Bybit,arbitrum,23671400.0
Bybit,binance-peg-bitcoin-cash,10708049.0
Bybit,binance-peg-polkadot,11965579.0
Bybit,binance-peg-eos,7007113.0
Bybit,niccagewaluigielmo42069inu,10293615.0
Bybit,internet-computer,9033636.0
Bybit,cosmos,9209492.0
Bybit,worldcoin-wld,24051652.0
Bybit,optimism,10278869.0
Bybit,apidae,15454565.0
Bybit,binance-peg-filecoin,9145016.0
Bybit,parcl,7631793.0
Bybit,coreai,20358611.0
Bybit,apeironnft,7738117.0
Bybit,unicorn-token,5918608.0
Bybit,stellar,7358175.0
Bybit,book-of-meme,9040550.0
Bybit,meme-brc-20,4940851.0
Bybit,sei-network,7368554.0
Bybit,heroes-of-mavia,11299488.0
Bybit,aave,4451780.0
Bybit,jupiter,9850791.0
Bybit,gmt-token,4565669.0
Bybit,ordinals,13088621.0
Bybit,pendle,8388459.0
Bybit,ethereum-classic,3349213.0
Bybit,dymension,1361838.0
Bybit,mask-network,2723008.0
Bybit,dydx-chain,5195997.0
Bybit,bridged-trueusd,9203.87
Bybit,axelar,2992864.0
Bybit,runebound,9221480.0
Bybit,singularitynet,6874489.0
Bybit,venom,2191896.0
Bybit,polyhedra-network,4178151.0
Bybit,ape-2,7266965.0
Bybit,jito-governance-token,9778129.0
Bybit,stoicdao,2537071.0
Bybit,tokenfi,3204419.0
Bybit,mina-protocol,1746486.0
Bybit,chiliz,3410809.0
Bybit,portal-2,900252.0
Bybit,gala,8421164.0
Bybit,eesee,1804679.0
Bybit,nibiru,920138.0
Bybit,playground-waves-floor-index,12173772.0
Bybit,immutable-x,2865247.0
Bybit,theta-token,2433251.0
Bybit,merlin-starter,8269814.0
Bybit,scaleswap-token,652855.0
Bybit,maker,3181896.0
OKX,batcat,1435586936.0
OKX,binance-eth,6611552.0
OKX,bridged-binance-peg-ethereum-opbnb,650575878.0
OKX,beam-bridged-usdc-beam,24520352.0
OKX,solana,339388392.0
OKX,staked-ether,16648804.0
OKX,binance-peg-dogecoin,132182662.0
OKX,arbitrum-bridged-usdt-arbitrum,14937766.0
OKX,bridged-wrapped-bitcoin-manta-pacific,1648741.0
OKX,binance-peg-litecoin,25181868.0
OKX,coreai,79092154.0
OKX,binance-peg-xrp,50634042.0
OKX,the-open-network,85246166.0
OKX,sui,53524045.0
OKX,newpepe,42785859.0
OKX,binance-peg-bitcoin-cash,14317019.0
OKX,wormhole,11560304.0
OKX,binancecoin,23194003.0
OKX,niccagewaluigielmo42069inu,13736987.0
OKX,ada-the-dog,9717014.0
OKX,chiliz,12374931.0
OKX,bridged-dai-stablecoin-linea,1544556.0
OKX,okb,14101036.0
OKX,worldcoin-wld,30898902.0
OKX,binance-peg-eos,8979060.0
OKX,tron,6840356.0
OKX,ordinals,34381767.0
OKX,apidae,13898558.0
OKX,avalanche-2,15517099.0
OKX,binance-peg-filecoin,27773468.0
OKX,pyth-network,11584322.0
OKX,bitcoin-cash-sv,7374206.0
OKX,ether-fi,13389425.0
OKX,bridged-matic-manta-pacific,6561851.0
OKX,celestia,17550343.0
OKX,optimism,8745912.0
OKX,binance-peg-polkadot,6632038.0
OKX,tether-gold,885106.0
OKX,near,16440869.0
OKX,arbitrum,12746300.0
OKX,polyhedra-network,7466535.0
OKX,unicorn-token,5913098.0
OKX,chainlink,5036179.0
OKX,jupiter,11523889.0
OKX,ethereum-classic,9800581.0
OKX,starknet,14560704.0
OKX,render-token,9941961.0
OKX,everid,5064783.0
OKX,internet-computer,6555146.0
OKX,cat-in-a-dogs-world,23499902.0
OKX,blockstack,8348294.0
OKX,stoicdao,5103629.0
OKX,neo,8642485.0
OKX,ssv-network,4652804.0
OKX,fantom,10249961.0
OKX,mantra-dao,4681452.0
OKX,floki,4080148.0
OKX,jito-governance-token,7420148.0
OKX,singularitynet,4899693.0
OKX,president-ron-desantis,1960818.0
OKX,meme-brc-20,3227470.0
OKX,dogwifcoin,3968347.0
OKX,injective-protocol,6707027.0
OKX,cosmos,3122004.0
OKX,blur,4904310.0
OKX,maker,3680088.0
OKX,conflux-token,8713226.0
OKX,mask-network,2218287.0
OKX,velo,21573387.0
OKX,bridged-curve-dao-token-stargate,4938395.0
OKX,luna-wormhole,951744.0
OKX,tensor,13748078.0
OKX,hedera-hashgraph,1490411.0
OKX,celo,2944140.0
OKX,big-time,6250606.0
OKX,biconomy,2561982.0
OKX,yield-guild-games,10844740.0
OKX,fetch-ai,4504211.0
OKX,gala,6788445.0
OKX,ethereum-name-service,2955066.0
OKX,aave,2864621.0
OKX,1inch,2093513.0
OKX,lido-dao,2459002.0
Coinbase Exchange,batcat,1450940825.0
Coinbase Exchange,bridged-binance-peg-ethereum-opbnb,406426162.0
Coinbase Exchange,solana,228991672.0
Coinbase Exchange,binance-peg-dogecoin,86738163.0
Coinbase Exchange,bridged-wrapped-bitcoin-manta-pacific,683903.0
Coinbase Exchange,binance-peg-litecoin,16456391.0
Coinbase Exchange,binance-peg-xrp,37060729.0
Coinbase Exchange,beam-bridged-usdc-beam,14263593.0
Coinbase Exchange,ondo-finance,52674910.0
Coinbase Exchange,paypal-usd,208980.0
Coinbase Exchange,niccagewaluigielmo42069inu,44696932.0
Coinbase Exchange,stellar,7391319.0
Coinbase Exchange,bridged-matic-manta-pacific,6571019.0
Coinbase Exchange,coinbase-wrapped-staked-eth,2934395.0
Coinbase Exchange,bridged-dai-stablecoin-linea,1377851.0
Coinbase Exchange,fetch-ai,30218637.0
Coinbase Exchange,avalanche-2,39935532.0
Coinbase Exchange,ada-the-dog,10656125.0
Coinbase Exchange,chainlink,14672006.0
Coinbase Exchange,arbitrum-bridged-usdt-arbitrum,10467095.0
Coinbase Exchange,binance-peg-bitcoin-cash,14237075.0
Coinbase Exchange,render-token,33260843.0
Coinbase Exchange,celestia,8772445.0
Coinbase Exchange,injective-protocol,35887122.0
Coinbase Exchange,unicorn-token,3231821.0
Coinbase Exchange,jito-governance-token,10221262.0
Coinbase Exchange,sui,17403928.0
Coinbase Exchange,internet-computer,10117247.0
Coinbase Exchange,blockstack,18571203.0
Coinbase Exchange,aave,2423053.0
Coinbase Exchange,near,22140938.0
Coinbase Exchange,optimism,19742425.0
Coinbase Exchange,arbitrum,6865565.0
Coinbase Exchange,ethereum-classic,1931270.0
Coinbase Exchange,bonk,10066103.0
Coinbase Exchange,hedera-hashgraph,4074983.0
Coinbase Exchange,sei-network,8795978.0
Coinbase Exchange,alchemy-pay,2884670.0
Coinbase Exchange,binance-peg-filecoin,7419487.0
Coinbase Exchange,binance-peg-polkadot,7590486.0
Coinbase Exchange,maker,5876303.0
Coinbase Exchange,apidae,8399295.0
Coinbase Exchange,axelar,1729455.0
Coinbase Exchange,havven,2931410.0
Coinbase Exchange,gemini-dollar,223926.0
Coinbase Exchange,boba,486596.0
Coinbase Exchange,cosmos,1814425.0
Coinbase Exchange,arkham,962334.0
Coinbase Exchange,stoicdao,1614542.0
Coinbase Exchange,ocean-protocol,4370894.0
Coinbase Exchange,jasmycoin,10184147.0
Coinbase Exchange,vechain,2365223.0
Coinbase Exchange,the-graph,4202295.0
Coinbase Exchange,skale,17615209.0
Coinbase Exchange,decentraland,898969.0
Coinbase Exchange,algorand,1702006.0
Coinbase Exchange,echelon-prime,3289638.0
Coinbase Exchange,osmosis,309637.0
Coinbase Exchange,suku,19154692.0
Coinbase Exchange,binance-peg-eos,1250031.0
Coinbase Exchange,tezos,1024151.0
Coinbase Exchange,ankr,913374.0
Coinbase Exchange,truebit-protocol,2424839.0
Coinbase Exchange,blur,1005651.0
Coinbase Exchange,immutable-x,2075394.0
Coinbase Exchange,sushi,1639509.0
Coinbase Exchange,lido-dao,3050463.0
Coinbase Exchange,superciety,2772528.0
Coinbase Exchange,loopring,1540461.0
Coinbase Exchange,quant-network,1919094.0
Coinbase Exchange,0x,1186949.0
Bitget,batcat,852519738.0
Bitget,beam-bridged-usdc-beam,24273017.0
Bitget,bridged-binance-peg-ethereum-opbnb,581935143.0
Bitget,solana,301542907.0
Bitget,binance-peg-dogecoin,131546038.0
Bitget,niccagewaluigielmo42069inu,36521514.0
Bitget,binance-peg-xrp,97110692.0
Bitget,binance-peg-litecoin,16557116.0
Bitget,arbitrum-bridged-usdt-arbitrum,4073347.0
Bitget,binancecoin,957314.0
Bitget,ethereum-classic,4103364.0
Bitget,arbitrum,24819107.0
Bitget,binance-peg-filecoin,5396018.0
Bitget,ada-the-dog,14379206.0
Bitget,near,33607360.0
Bitget,avalanche-2,17443592.0
Bitget,bridged-matic-manta-pacific,12395873.0
Bitget,tron,6129319.0
Bitget,mask-network,358740.0
Bitget,starknet,8569967.0
Bitget,liquity,1698537.0
Bitget,binance-peg-bitcoin-cash,8209099.0
Bitget,pax-gold,60660.0
Bitget,binance-peg-eos,1529057.0
Bitget,chainlink,10145334.0
Bitget,sui,4480946.0
Bitget,worldcoin-wld,18701149.0
Bitget,optimism,11329367.0
Bitget,bitget-token,55455588.0
Bitget,apidae,3738219.0
Bitget,energi-dollar,572924.0
Bitget,usdv-2,184221.0
Bitget,dydx-chain,618490.0
Bitget,binance-peg-polkadot,2945307.0
Bitget,bridged-dai-stablecoin-linea,677020.0
Bitget,cosmos,3690136.0
Bitget,bittensor,2802066.0
Bitget,gala,5093494.0
Bitget,render-token,7758064.0
Bitget,havven,323907.0
Bitget,celestia,6635426.0
Bitget,fetch-ai,10662549.0
Bitget,singularitynet,5438897.0
Bitget,coreai,24525536.0
Bitget,dogwifcoin,32005935.0
Bitget,blur,2516836.0
Bitget,sei-network,5095871.0
Bitget,newpepe,47144320.0
Bitget,unicorn-token,402755.0
Bitget,blockstack,3601661.0
Bitget,internet-computer,2348485.0
Bitget,arpa,617160.0
Bitget,runebound,6733768.0
Bitget,the-graph,528858.0
Bitget,conflux-token,2654845.0
Bitget,jasmycoin,5485459.0
Bitget,fantom,4133160.0
Bitget,ondo-finance,57881538.0
Bitget,yield-guild-games,1452316.0
Bitget,injective-protocol,4780371.0
Bitget,neo,6906526.0
Bitget,pyth-network,477545.0
Bitget,astar,213953.0
Bitget,floki,14793321.0
Bitget,alchemy-pay,1216543.0
Bitget,biconomy,379599.0
Bitget,pixels,1671616.0
Bitget,stellar,4177957.0
Bitget,san-diego-coin,432121.0
Bitget,qtum,264902.0
Bitget,chiliz,1573265.0
Bitget,kaspa,2398846.0
Bitget,pancakeswap-token,151794.0
Bitget,maker,498717.0
Bitget,phoenix-global,1128250.0
Bitget,sushi,222256.0
Bitget,polymesh,770494.0
Bitget,bitcoin-cash-sv,2568982.0
Bitget,playground-waves-floor-index,2879134.0
Bitget,quant-network,281543.0
Bitget,api3,153631.0
Bitget,ethereum-name-service,1326268.0
Bitget,lido-dao,530487.0
Bitget,ssv-network,221478.0
Bitget,arweave,3094361.0
Bitget,magic,917480.0
Bitget,binance-peg-iotex,1013450.0
Bitget,coin98,222278.0
Bitget,decentraland,328997.0
Bitget,aave,1535192.0
Bitget,oasis-network,912047.0
Bitget,swipe,88002.0
Bitget,harmony,711265.0
HTX,bridged-binance-peg-ethereum-opbnb,82828472.0
HTX,batcat,111773192.0
HTX,solana,95787993.0
HTX,beam-bridged-usdc-beam,2955077.0
HTX,binance-peg-dogecoin,63256503.0
HTX,coreai,24319697.0
HTX,tron,11670443.0
HTX,slerf,23023396.0
HTX,cryptosaga,50395214.0
HTX,bridged-dai-stablecoin-linea,8771729.0
HTX,ada-the-dog,24582973.0
HTX,binance-peg-xrp,26559278.0
HTX,newpepe,37194222.0
HTX,ethena,78824110.0
HTX,tensor,39750163.0
HTX,book-of-meme,37583367.0
HTX,bridged-matic-manta-pacific,16151475.0
HTX,wormhole,32330437.0
HTX,binance-peg-litecoin,23493405.0
HTX,ethereum-classic,22269686.0
HTX,arbitrum,15155295.0
HTX,binance-peg-filecoin,19719718.0
HTX,binance-peg-polkadot,19872807.0
HTX,ordinals,31772029.0
HTX,avalanche-2,20137948.0
HTX,niccagewaluigielmo42069inu,6028190.0
HTX,apidae,22237763.0
HTX,tether-gold,7543009.0
HTX,runebound,15074123.0
HTX,binancecoin,20686685.0
HTX,chainlink,21244052.0
HTX,dusk-network,8054687.0
HTX,singularitynet,15722266.0
HTX,cosmos,10869858.0
HTX,sei-network,5988009.0
HTX,starknet,19884043.0
HTX,worldcoin-wld,21456450.0
HTX,floki,22476077.0
HTX,sui,21544417.0
HTX,binance-peg-bitcoin-cash,21356152.0
HTX,stellar,2017377.0
HTX,pendle,8203200.0
HTX,jupiter,22074660.0
HTX,unicorn-token,16356537.0
HTX,the-open-network,9844018.0
HTX,optimism,18096885.0
HTX,nervos-network,14788560.0
HTX,binance-peg-eos,11934263.0
HTX,ether-fi,28053908.0
HTX,gala,15834510.0
HTX,aave,4745782.0
HTX,yield-guild-games,6499453.0
HTX,constitutiondao,9433337.0
HTX,aevo-exchange,16069913.0
HTX,ondo-finance,10212357.0
HTX,magic,3462366.0
HTX,flow,13576314.0
HTX,1inch,6042928.0
HTX,internet-computer,1028984.0
HTX,compound-governance-token,3437742.0
HTX,dogwifcoin,22679945.0
HTX,polymesh,1565675.0
HTX,skale,11126195.0
HTX,aelf,2571165.0
HTX,near,6820956.0
HTX,reef,8028957.0
HTX,fetch-ai,11173857.0
HTX,meme-brc-20,4929818.0
HTX,creditcoin-2,5483435.0
HTX,dydx-chain,6033288.0
HTX,hedera-hashgraph,2066966.0
HTX,ankr,311182.0
HTX,theta-token,3007708.0
HTX,terra-luna-2,6543234.0
HTX,ethereum-pow-iou,311190.0
HTX,bitcoin-cash-sv,3544352.0
HTX,kava,297318.0
HTX,lido-dao,3704389.0
HTX,aicoin-2,5853637.0
HTX,san-diego-coin,7413193.0
HTX,bridged-curve-dao-token-stargate,5839073.0
HTX,ocean-protocol,4384507.0
HTX,chia,15716900.0
HTX,omni,2838519.0
HTX,stoicdao,10299943.0
HTX,axie-infinity,5839103.0
HTX,cross-chain-degen-dao,10136810.0
HTX,maker,4141132.0
HTX,clevernode,6633720.0
HTX,mask-network,3578578.0
HTX,fantom,5312072.0
HTX,the-graph,3538401.0
HTX,kusama,2658026.0
HTX,pixels,10856968.0
HTX,statter-network,5179401.0
HTX,badger-dao,1054057.0
HTX,xpla,96717.0
Gate.io,batcat,654401849.0
Gate.io,bridged-binance-peg-ethereum-opbnb,464106536.0
Gate.io,binance-peg-xrp,21192546.0
Gate.io,binance-peg-litecoin,7116411.0
Gate.io,ethena,72777075.0
Gate.io,solana,72534948.0
Gate.io,niccagewaluigielmo42069inu,16431694.0
Gate.io,sui,20933439.0
Gate.io,binancecoin,14632933.0
Gate.io,binance-peg-dogecoin,52346399.0
Gate.io,binance-peg-bitcoin-cash,17630719.0
Gate.io,ethereum-classic,9966143.0
Gate.io,arbitrum,9225607.0
Gate.io,binance-peg-filecoin,16182671.0
Gate.io,fantom,12296258.0
Gate.io,worldcoin-wld,15176125.0
Gate.io,singularitynet,20719900.0
Gate.io,avalanche-2,8946041.0
Gate.io,apidae,8706925.0
Gate.io,newpepe,26875063.0
Gate.io,chainlink,5462384.0
Gate.io,internet-computer,24714895.0
Gate.io,render-token,14137255.0
Gate.io,jito-governance-token,6515620.0
Gate.io,hedera-hashgraph,4176050.0
Gate.io,optimism,5656263.0
Gate.io,dogwifcoin,37583721.0
Gate.io,book-of-meme,36432914.0
Gate.io,ada-the-dog,5457661.0
Gate.io,blockstack,20293137.0
Gate.io,binance-peg-polkadot,4863770.0
Gate.io,ordinals,21637541.0
Gate.io,injective-protocol,11515365.0
Gate.io,fetch-ai,10958502.0
Gate.io,aave,1650267.0
Gate.io,near,39257734.0
Gate.io,ssv-network,3138367.0
Gate.io,celestia,10486407.0
Gate.io,yield-guild-games,6504725.0
Gate.io,binance-peg-eos,5384970.0
Gate.io,wormhole,7771152.0
Gate.io,unicorn-token,3528020.0
Gate.io,the-open-network,29572719.0
Gate.io,chiliz,6523555.0
Gate.io,flow,2940794.0
Gate.io,floki,13859142.0
Gate.io,conflux-token,10491657.0
Gate.io,zeebu,34068886.0
Gate.io,gala,6360101.0
Gate.io,algorand,4402586.0
Gate.io,tron,2061532.0
Gate.io,blur,3050538.0
Gate.io,bridged-matic-manta-pacific,6054355.0
Gate.io,pyth-network,4223014.0
Gate.io,ether-fi,8631667.0
Gate.io,ondo-finance,99131550.0
Gate.io,theta-token,3507375.0
Gate.io,meme-brc-20,3156176.0
Gate.io,arweave,4291156.0
Gate.io,cryptosaga,8522166.0
Gate.io,jupiter,13157259.0
Gate.io,slerf,54728500.0
Gate.io,astar,5764665.0
Gate.io,cosmos,1522455.0
Gate.io,tensor,15417288.0
Gate.io,san-diego-coin,2054002.0
Gate.io,polyhedra-network,7336325.0
Gate.io,sei-network,4948650.0
Gate.io,bonk,4052957.0
Gate.io,terra-luna-2,2620873.0
Gate.io,starknet,3430347.0
Gate.io,liquity,3469339.0
Gate.io,dydx-chain,2963860.0
Gate.io,pixels,3450713.0
Gate.io,stoicdao,6540251.0
Gate.io,jasmycoin,11248608.0
Gate.io,pendle,6476282.0
Gate.io,aevo-exchange,3473118.0
Gate.io,stellar,3458595.0
Gate.io,havven,3508429.0
Gate.io,everid,7972775.0
Gate.io,neo,1463918.0
Gate.io,polymesh,4976699.0
Gate.io,bitcoin-cash-sv,3242749.0
Gate.io,coreai,17720368.0
Gate.io,cat-in-a-dogs-world,72088234.0
Gate.io,nervos-network,6318831.0
Gate.io,truebit-protocol,7128502.0
Gate.io,kaspa,23804888.0
Gate.io,skale,484218.0
Gate.io,1inch,444491.0
Gate.io,mantra-dao,5118609.0
Gate.io,casper-network,2820770.0
Gate.io,ocean-protocol,6020201.0
Gate.io,ape-2,2255841.0
Gate.io,grok-3,1680551.0
Gate.io,playground-waves-floor-index,5453514.0
Gate.io,dymension,1019037.0
Gate.io,arkham,11018214.0
Gate.io,axie-infinity,1657153.0
Kraken,batcat,345015651.0
Kraken,bridged-binance-peg-ethereum-opbnb,101137417.0
Kraken,beam-bridged-usdc-beam,65452077.0
Kraken,solana,112742909.0
Kraken,binance-peg-dogecoin,26847106.0
Kraken,chainlink,2664872.0
Kraken,binance-peg-litecoin,3552255.0
Kraken,binance-peg-xrp,12331874.0
Kraken,bridged-dai-stablecoin-linea,568967.0
Kraken,arbitrum-bridged-usdt-arbitrum,8844495.0
Kraken,bridged-wrapped-bitcoin-manta-pacific,670577.0
Kraken,binance-peg-polkadot,3272968.0
Kraken,near,5636790.0
Kraken,ada-the-dog,6458936.0
Kraken,tron,1268706.0
Kraken,celestia,5291786.0
Kraken,cosmos,768613.0
Kraken,stellar,441532.0
Kraken,internet-computer,3973293.0
Kraken,unicorn-token,1267829.0
Kraken,fetch-ai,8182297.0
Kraken,ocean-protocol,1699963.0
Kraken,avalanche-2,3872947.0
Kraken,arbitrum,700862.0
Kraken,paypal-usd,441636.0
Kraken,binance-peg-bitcoin-cash,2028224.0
Kraken,monero,3987028.0
Kraken,binance-peg-filecoin,2829815.0
Kraken,newpepe,2837242.0
Kraken,bridged-matic-manta-pacific,1703449.0
Kraken,algorand,326542.0
Kraken,render-token,2988472.0
Kraken,basic-attention-token,51870.0
Kraken,niccagewaluigielmo42069inu,1567007.0
Kraken,binance-peg-eos,139379.0
Kraken,compound-governance-token,44903.0
Kraken,fantom,2033694.0
Kraken,ethereum-classic,227505.0
Kraken,kava,162580.0
Kraken,decentraland,109619.0
Kraken,injective-protocol,401978.0
Kraken,wrapped-axelar,50832.0
Kraken,the-graph,720937.0
Crypto.com Exchange,batcat,621055016.0
Crypto.com Exchange,bridged-binance-peg-ethereum-opbnb,600694160.0
Crypto.com Exchange,arbitrum-bridged-usdt-arbitrum,2653248.0
Crypto.com Exchange,niccagewaluigielmo42069inu,2065857.0
Crypto.com Exchange,binance-peg-xrp,9838232.0
Crypto.com Exchange,avalanche-2,3339791.0
Crypto.com Exchange,ada-the-dog,4082647.0
Crypto.com Exchange,solana,23374760.0
Crypto.com Exchange,binance-peg-litecoin,1633943.0
Crypto.com Exchange,chainlink,1590842.0
Crypto.com Exchange,aave,1258479.0
Crypto.com Exchange,binance-peg-bitcoin-cash,842646.0
Crypto.com Exchange,binance-peg-dogecoin,8195745.0
Crypto.com Exchange,arbitrum,487608.0
Crypto.com Exchange,binance-peg-polkadot,1019251.0
Crypto.com Exchange,stellar,715823.0
Crypto.com Exchange,fantom,936976.0
Crypto.com Exchange,optimism,169479.0
Crypto.com Exchange,bridged-matic-manta-pacific,1303010.0
Crypto.com Exchange,gala,1446439.0
Crypto.com Exchange,near,824285.0
Crypto.com Exchange,cosmos,913801.0
Crypto.com Exchange,paypal-usd,427176.0
Crypto.com Exchange,vechain,246532.0
Crypto.com Exchange,binance-peg-filecoin,136706.0
Crypto.com Exchange,san-diego-coin,252187.0
Crypto.com Exchange,ape-2,120247.0
Crypto.com Exchange,sui,1002070.0
Crypto.com Exchange,bridged-wrapped-bitcoin-manta-pacific,70326.0
Crypto.com Exchange,velo,139977.0
Crypto.com Exchange,the-graph,244040.0
Crypto.com Exchange,unicorn-token,167164.0
Crypto.com Exchange,decentraland,60051.0
Crypto.com Exchange,internet-computer,669401.0
Crypto.com Exchange,blockstack,241979.0
Crypto.com Exchange,runebound,163919.0
Crypto.com Exchange,yearn-finance,8625.36
Crypto.com Exchange,newpepe,571698.0
Crypto.com Exchange,apidae,133873.0
Crypto.com Exchange,pax-gold,84088.0
Crypto.com Exchange,axie-infinity,37520.0
Crypto.com Exchange,dydx-chain,11718.17
Crypto.com Exchange,worldcoin-wld,353527.0
Crypto.com Exchange,crob-mob,145339.0
Crypto.com Exchange,theta-token,86211.0
Crypto.com Exchange,hedera-hashgraph,481004.0
Crypto.com Exchange,jasmycoin,618275.0
Crypto.com Exchange,wormhole,265847.0
Crypto.com Exchange,lido-dao,35132.0
Crypto.com Exchange,algorand,81375.0
Crypto.com Exchange,binance-peg-eos,83774.0
Crypto.com Exchange,book-of-meme,393566.0
Crypto.com Exchange,fetch-ai,6142375.0
KuCoin,batcat,311538881.0
KuCoin,bridged-binance-peg-ethereum-opbnb,162146665.0
KuCoin,solana,57157872.0
KuCoin,beam-bridged-usdc-beam,5357751.0
KuCoin,binance-peg-xrp,15292052.0
KuCoin,arbitrum-bridged-usdt-arbitrum,3276069.0
KuCoin,near,14669550.0
KuCoin,bridged-matic-manta-pacific,2538683.0
KuCoin,binance-peg-dogecoin,16286411.0
KuCoin,binancecoin,5760207.0
KuCoin,niccagewaluigielmo42069inu,4951292.0
KuCoin,binance-peg-litecoin,3431118.0
KuCoin,internet-computer,10813655.0
KuCoin,mask-network,3157052.0
KuCoin,avalanche-2,12389356.0
KuCoin,starknet,580500.0
KuCoin,saitachain-coin-2,16795.16
KuCoin,ethena,8635017.0
KuCoin,ada-the-dog,3903460.0
KuCoin,fantom,6243833.0
KuCoin,chainlink,2929974.0
KuCoin,tron,1689283.0
KuCoin,ondo-finance,16528165.0
KuCoin,arbitrum,1738727.0
KuCoin,sei-network,1337219.0
KuCoin,fetch-ai,4777363.0
KuCoin,dogwifcoin,8230865.0
KuCoin,sui,5032162.0
KuCoin,unicorn-token,1346866.0
KuCoin,runebound,1873965.0
KuCoin,terra-luna-2,472174.0
KuCoin,route,547723.0
KuCoin,render-token,3689361.0
KuCoin,binance-peg-filecoin,1782286.0
